timestamp_ms,altitude_m,ax_mps2,ay_mps2,az_mps2,gx_dps,gy_dps,gz_dps
2367,0.1,0.919,-0.043,9.543,-6.04,0.3,0.79
2407,0.04,0.862,0.01,9.615,-6.04,0.37,0.73
2447,0.04,0.833,-0.038,9.61,-6.1,0.43,0.55
2487,0.04,0.886,-0.067,9.553,-5.98,0.43,0.73
2527,-0.02,0.886,-0.029,9.553,-5.91,0.49,0.61
2567,-0.13,0.934,-0.014,9.634,-5.85,0.24,0.61
2607,-0.19,0.91,0.029,9.615,-6.16,0.37,0.73
2647,0.04,0.934,-0.062,9.625,-6.04,0.37,0.67
2688,0.04,0.891,0.043,9.601,-6.04,0.3,0.79
2727,-0.03,0.857,0.019,9.519,-6.04,0.3,0.67
2767,-0.09,0.857,-0.005,9.538,-6.1,0.37,0.61
2807,-0.15,0.886,-0.014,9.61,-6.1,0.3,0.49
2847,-0.09,0.852,0.043,9.596,-5.98,0.37,0.55
2887,-0.09,0.876,0.029,9.572,-5.98,0.37,0.85
2927,-0.16,0.881,0.034,9.606,-6.1,0.3,0.85
2967,-0.17,0.852,-0.014,9.567,-6.04,0.37,0.85
3007,-0.27,0.929,0.005,9.543,-6.1,0.24,0.85
3047,-0.22,0.824,0.024,9.62,-6.04,0.3,0.61
3087,-0.1,0.924,0.038,9.653,-6.04,0.55,0.73
3127,-0.04,0.91,0.024,9.596,-6.04,0.43,0.73
3167,-0.1,0.915,0.019,9.601,-6.04,0.55,0.73
3207,-0.1,0.915,0.005,9.629,-5.91,0.24,0.85
3247,0.02,0.934,-0.019,9.601,-6.28,0.18,0.73
3287,0.02,0.9,0.005,9.558,-5.98,0.43,0.61
3328,-0.04,0.886,-0.019,9.601,-6.16,0.43,0.67
3367,0.07,0.919,-0.024,9.5,-5.91,0.37,0.73
3407,0.02,0.948,-0.019,9.529,-6.22,0.49,0.73
3447,0.02,0.881,-0.005,9.519,-6.16,0.49,0.55
3487,0.02,0.886,0.024,9.558,-6.1,0.3,0.67
3527,-0.04,0.886,-0.024,9.639,-5.98,0.3,0.73
3567,-0.1,0.881,-0.005,9.658,-5.91,0.3,0.73
3607,-0.1,0.852,0.057,9.606,-5.91,0.24,0.79
3647,-0.17,0.943,0.038,9.562,-6.04,0.24,0.67
3687,-0.06,0.876,0.072,9.529,-6.16,0.37,0.73
3727,0.07,0.895,0.029,9.562,-6.04,0.43,0.67
3767,-0.06,0.915,0.014,9.639,-5.98,0.12,0.67
3807,0.02,0.809,0.067,9.601,-6.1,0.61,0.67
3847,-0.1,0.905,-0.005,9.625,-6.04,0.43,0.73
3887,-0.12,0.934,-0.038,9.644,-5.91,0.18,0.67
3927,-0.06,0.852,-0.038,9.629,-6.16,0.3,0.55
3968,-0.13,0.91,0.038,9.5,-5.91,0.55,0.79
4007,-0.12,0.876,0.034,9.644,-6.1,0.49,0.79
4047,-0.12,0.91,0.053,9.577,-6.04,0.24,0.73
4087,-0.12,0.895,0.029,9.562,-5.98,0.24,0.55
4127,0,0.9,0.034,9.687,-6.1,0.49,0.67
4167,0,0.915,-0.005,9.601,-6.1,0.12,0.73
4207,-0.06,0.91,0.043,9.548,-6.04,0.3,0.91
4247,0,0.848,-0.005,9.596,-6.04,0.49,0.85
4287,0,0.924,0.024,9.577,-6.1,0.43,0.79
4327,-0.17,0.919,-0.005,9.591,-6.1,0.43,0.73
4367,-0.24,0.862,0,9.548,-6.04,0.43,0.67
4407,-0.13,0.871,0.01,9.495,-5.98,0.43,0.61
4447,-0.13,0.886,0.062,9.615,-6.16,0.3,0.61
4487,0.05,0.881,-0.01,9.553,-5.91,0.3,0.91
4527,-0.02,0.919,0.034,9.591,-6.04,0.37,0.67
4567,0.05,0.958,0.034,9.586,-5.98,0.43,0.85
4608,0.05,0.862,0,9.634,-6.1,0.43,0.67
